Time,Pelvis,Right Hand,Left Hand,Head,Right Foot,Left Foot
329,[-0.08719939  0.15809648  1.        ],[0.19090393 0.17472623 1.2897574 ],[0.25472844 0.3207195  1.421592  ],[-0.04845455  0.21905105  1.6994724 ],[-0.05561547 -0.03812595  0.17735338],[0.03064548 0.08486823 0.13670826]
330,[-0.08064931  0.16099459  1.        ],[0.21503909 0.2578004  1.315782  ],[0.24298893 0.30466294 1.4197245 ],[-0.0539928   0.23757327  1.7066329 ],[-0.01617849 -0.00356787  0.182468  ],[0.01432597 0.09938425 0.1298573 ]
331,[-0.07398359  0.16416356  1.        ],[0.20341547 0.30416128 1.273767  ],[0.22915237 0.33832958 1.4082242 ],[-0.044521    0.24347946  1.7020705 ],[ 0.02970359 -0.01564684  0.17996764],[0.01337715 0.10386774 0.1207372 ]
332,[-0.06737845  0.17877442  1.        ],[0.19647117 0.3140862  1.2445242 ],[0.2236618 0.3699938 1.407945 ],[-0.03081548  0.26404792  1.7003533 ],[ 0.09146304 -0.00831127  0.17375118],[0.00755603 0.10091543 0.11837375]
333,[-0.06093839  0.1909383   1.        ],[0.21298763 0.2633847  1.2463578 ],[0.20854995 0.423122   1.4032413 ],[-0.0145412  0.2780065  1.6933687],[ 0.135995   -0.01033891  0.1584425 ],[-0.00295601  0.14020336  0.11592126]
334,[-0.05456764  0.20441267  1.        ],[0.23647726 0.24580255 1.2545568 ],[0.18596882 0.4677619  1.4121147 ],[-0.00493069  0.2889355   1.7020442 ],[0.18783128 0.02504108 0.1612944 ],[-0.01295046  0.18102738  0.11794901]
335,[-0.04813233  0.2220934   1.        ],[0.28787187 0.18338418 1.2610917 ],[0.16664861 0.5635287  1.4070382 ],[0.00402547 0.3078779  1.704571  ],[0.22001061 0.01603628 0.15945697],[-0.02263066  0.1932714   0.11124444]
336,[-0.04188701  0.2421121   1.        ],[0.3248924  0.18069291 1.2660968 ],[0.15294239 0.59271395 1.3987162 ],[0.01415025 0.32821143 1.7084177 ],[0.2330643  0.04006648 0.16050535],[-0.03044463  0.22543895  0.11855948]
337,[-0.0358118  0.2567489  1.       ],[0.34739184 0.19569647 1.2693926 ],[0.13444176 0.6495313  1.3930572 ],[0.02666065 0.351467   1.708166  ],[0.22492363 0.05461491 0.14842784],[-0.03004763  0.24922228  0.12129831]
338,[-0.02995217  0.26378268  1.        ],[0.36362693 0.22870475 1.2676735 ],[0.0900963 0.6806585 1.3890982],[0.03379234 0.36113554 1.708309  ],[0.21116115 0.05529862 0.14110261],[-0.03474832  0.25780314  0.11342472]
339,[-0.02420401  0.27285695  1.        ],[0.37852117 0.27510893 1.2661667 ],[0.04318671 0.717355   1.3781836 ],[0.04450422 0.369977   1.7084423 ],[0.19594216 0.07020617 0.13025069],[-0.03265703  0.28878987  0.11162579]
340,[-0.01841093  0.27597842  1.        ],[0.3895873 0.3305011 1.2600462],[0.00466641 0.7373425  1.3755281 ],[0.05379844 0.3695424  1.7082131 ],[0.18605685 0.0944723  0.1237846 ],[-0.03148104  0.303288    0.10683984]
341,[-0.01269012  0.27644995  1.        ],[0.40586936 0.3707601  1.2641432 ],[-0.01112428  0.72980255  1.374787  ],[0.0621474  0.36836705 1.7101343 ],[0.18086521 0.11787053 0.11805546],[-0.03274766  0.30734333  0.1004194 ]
342,[-0.00688469  0.2721265   1.        ],[0.41194305 0.38250512 1.2616117 ],[-0.0257154   0.72853744  1.3751388 ],[0.06599019 0.36450654 1.7077821 ],[0.17103109 0.12328207 0.11149669],[-0.03356551  0.29308873  0.09674484]
343,[-0.00107414  0.26317635  1.        ],[0.40961042 0.41179606 1.2644855 ],[-0.0467909  0.7240166  1.3748152],[0.07356515 0.3564848  1.710791  ],[0.16329622 0.12297782 0.11436492],[-0.03370626  0.27646503  0.10198677]
344,[0.00490154 0.2564404  1.        ],[0.40877825 0.4311427  1.2628366 ],[-0.05131351  0.71682703  1.3758048 ],[0.07842227 0.35162866 1.7096474 ],[0.15659909 0.13750865 0.11804092],[-0.02519836  0.26982665  0.10897958]
345,[0.01121455 0.24737045 1.        ],[0.40050113 0.4524195  1.2555264 ],[-0.07836898  0.6836281   1.376932  ],[0.07555281 0.3492802  1.7063918 ],[0.14774127 0.1372815  0.11352551],[-0.02519428  0.2511752   0.10784292]
346,[0.0178711  0.23653321 1.        ],[0.39839026 0.45799056 1.2543936 ],[-0.08952984  0.6624014   1.3779433 ],[0.07830036 0.3376669  1.7067165 ],[0.14273952 0.13885145 0.11582541],[-0.01397759  0.2321525   0.11230654]
347,[0.02485948 0.2271838  1.        ],[0.39847893 0.46058437 1.2507689 ],[-0.11170874  0.6566246   1.372593  ],[0.07832456 0.32626912 1.7051578 ],[0.13877074 0.13207851 0.11386192],[-0.00526551  0.21200906  0.11364681]
348,[0.03192637 0.21893413 1.        ],[0.39550728 0.47105795 1.2494348 ],[-0.1270824  0.6380465  1.3767356],[0.0758487  0.31593758 1.7092534 ],[0.14411743 0.14142676 0.11781418],[0.01018683 0.19971462 0.11894011]
349,[0.03912669 0.20467633 1.        ],[0.39876196 0.46630496 1.252823  ],[-0.12632878  0.61105406  1.3796382 ],[0.08136521 0.2998516  1.7127938 ],[0.14817362 0.13303548 0.1197111 ],[0.02540415 0.17683381 0.12318581]
350,[0.0464159  0.19025324 1.        ],[0.39832067 0.46613643 1.2440296 ],[-0.13356006  0.58789796  1.3805047 ],[0.08434597 0.28305706 1.7162057 ],[0.15467767 0.13622187 0.11593759],[0.03621893 0.1625645  0.1193499 ]
351,[0.05366993 0.1784508  1.        ],[0.39100456 0.4726902  1.2467816 ],[-0.13546696  0.57873464  1.3836021 ],[0.08692535 0.27071628 1.7179377 ],[0.16333492 0.12303301 0.11577159],[0.04949247 0.1412377  0.12160897]
352,[0.06083315 0.16532466 1.        ],[0.38454515 0.47093698 1.2425549 ],[-0.13793877  0.5591791   1.3817165 ],[0.08860961 0.26222757 1.7151227 ],[0.1684163  0.10998865 0.11590481],[0.06322817 0.12768432 0.12161708]
353,[0.06779169 0.15326051 1.        ],[0.38825163 0.46531987 1.2411746 ],[-0.13078043  0.544388    1.3826082 ],[0.09424626 0.25086725 1.7145424 ],[0.17367676 0.08999418 0.11109096],[0.07217802 0.1088159  0.1174897 ]
354,[0.07473902 0.14567015 1.        ],[0.39571327 0.46207663 1.2430886 ],[-0.12595807  0.53779525  1.3822572 ],[0.09814591 0.24015078 1.7127373 ],[0.17848004 0.08461878 0.11437905],[0.07936914 0.10000513 0.11952013]
355,[0.08154786 0.13589935 1.        ],[0.39546898 0.45565596 1.238952  ],[-0.11811854  0.5309773   1.3800459 ],[0.10156666 0.23215048 1.7141173 ],[0.19027509 0.06850974 0.11532217],[0.08834941 0.08034031 0.12049454]
356,[0.08830567 0.12619391 1.        ],[0.3963294  0.44189432 1.2363724 ],[-0.11721894  0.5216507   1.3755434 ],[0.10354083 0.22389844 1.7112262 ],[0.20145385 0.06548062 0.11746961],[0.09791498 0.0772045  0.12165046]
357,[0.09485697 0.11771496 1.        ],[0.399563   0.43349567 1.2294753 ],[-0.09688298  0.49849418  1.38075   ],[0.10659905 0.21522279 1.7102022 ],[0.21228571 0.06221356 0.11868215],[0.10815255 0.07280984 0.12176675]
358,[0.10106705 0.10901011 1.        ],[0.404142   0.43212324 1.2256051 ],[-0.09920771  0.4932086   1.3790104 ],[0.11151785 0.20414259 1.7103393 ],[0.21791753 0.04504604 0.1168614 ],[0.11007903 0.05677754 0.12161356]
359,[0.10701381 0.09990319 1.        ],[0.40927416 0.41387954 1.2253222 ],[-0.09274479  0.4905378   1.3807333 ],[0.11651437 0.1938633  1.712316  ],[0.22954752 0.03686037 0.11693096],[0.11865737 0.05333987 0.12105715]
360,[0.11262383 0.08860599 1.        ],[0.41254523 0.3926379  1.228125  ],[-0.09118158  0.47099084  1.3888564 ],[0.11754357 0.18153135 1.715009  ],[0.24052186 0.03622334 0.12050062],[0.12647763 0.0491709  0.12326556]
361,[0.11799261 0.07507812 1.        ],[0.41814148 0.38480377 1.2255719 ],[-0.08917066  0.45448136  1.3872964 ],[0.12278203 0.16885209 1.7152724 ],[0.25080666 0.03308892 0.12045324],[0.13409509 0.04412603 0.12276453]
362,[0.12302146 0.05943547 1.        ],[0.42291665 0.36208168 1.2283288 ],[-0.08961084  0.43980405  1.3872061 ],[0.12606484 0.15178584 1.71488   ],[0.25564435 0.01128815 0.12043142],[0.13898923 0.02598427 0.12090671]
363,[0.12337808 0.05365085 1.        ],[0.42442107 0.36256462 1.233052  ],[-0.08853637  0.43577772  1.3893387 ],[0.12857704 0.14355022 1.7157342 ],[0.26097026 0.00064319 0.11821783],[0.14136495 0.02276212 0.11892599]
364,[0.1239886  0.04197621 1.        ],[0.42392284 0.3481174  1.2340087 ],[-0.08857396  0.42266333  1.3925579 ],[0.1257791  0.13108522 1.7144277 ],[ 0.26214942 -0.01440811  0.11971694],[0.14318968 0.01099694 0.11958629]
365,[0.124477   0.03017657 1.        ],[0.42691374 0.33798933 1.2392743 ],[-0.0904026   0.40912145  1.3980196 ],[0.12613232 0.11763173 1.7166997 ],[ 0.2585669  -0.0280673   0.11593801],[0.14178878 0.00187378 0.11669147]
366,[0.12486114 0.01827055 1.        ],[0.42787027 0.32809067 1.2415501 ],[-0.0968885   0.40143502  1.3966372 ],[0.12573348 0.10662299 1.7164339 ],[ 0.25478077 -0.04228544  0.11734462],[ 0.13916822 -0.01572168  0.11735022]
367,[0.12515889 0.0062768  1.        ],[0.43035582 0.31726095 1.2428715 ],[-0.09421925  0.38572463  1.3998996 ],[0.12423288 0.09488286 1.7180576 ],[ 0.25037944 -0.05525546  0.11667424],[ 0.13822886 -0.03074567  0.11782235]
368,[ 0.1253881  -0.00578604  1.        ],[0.42980266 0.3046467  1.2403761 ],[-0.08576982  0.3619543   1.4047109 ],[0.1252385  0.08458229 1.7171046 ],[ 0.2457812  -0.06868187  0.11666811],[ 0.13678643 -0.04168848  0.11677134]
369,[ 0.12556662 -0.01789934  1.        ],[0.42981705 0.2940461  1.2384211 ],[-0.08832633  0.34890038  1.4024856 ],[0.12497984 0.07245051 1.7176598 ],[ 0.24339579 -0.07892127  0.11557102],[ 0.13665155 -0.05213184  0.11532867]
370,[ 0.1257123  -0.03004447  1.        ],[0.42863286 0.27965686 1.2410573 ],[-0.08174152  0.3333319   1.4054798 ],[0.125092   0.05896714 1.7160901 ],[ 0.23873249 -0.08496252  0.11738098],[ 0.13431291 -0.06063011  0.11736524]
371,[ 0.125843   -0.04220277  1.        ],[0.4308805  0.26480377 1.2545953 ],[-0.07676266  0.32545006  1.4077418 ],[0.12581939 0.04734576 1.716897  ],[ 0.2352141  -0.1003958   0.11714834],[ 0.13119046 -0.07731915  0.11638874]
372,[ 0.12597659 -0.05435561  1.        ],[0.4334804  0.25556284 1.2538507 ],[-0.07364902  0.31310242  1.4123946 ],[0.12628774 0.03444786 1.7195227 ],[ 0.23083036 -0.11187833  0.11531913],[ 0.1281433  -0.08726674  0.11286515]
373,[ 0.12613091 -0.06648436  1.        ],[0.43473577 0.24419275 1.2476282 ],[-0.07250801  0.30312458  1.4097819 ],[0.12663484 0.02205619 1.7190168 ],[ 0.22880334 -0.12401739  0.11519063],[ 0.12725714 -0.09829298  0.11393672]
374,[ 0.12632382 -0.07857038  1.        ],[0.4327788  0.23792009 1.2366091 ],[-0.05154234  0.274475    1.4180025 ],[0.1260808 0.0104898 1.7199492],[ 0.23212376 -0.14096154  0.11514366],[ 0.13038951 -0.11954428  0.11224735]
375,[ 0.12657318 -0.09059503  1.        ],[0.43739042 0.22827116 1.2141162 ],[-0.05538395  0.26173267  1.4069715 ],[ 0.12513396 -0.00252243  1.7166979 ],[ 0.23094954 -0.14947638  0.11658472],[ 0.12662731 -0.1225396   0.1172536 ]
376,[ 0.12689683 -0.10253967  1.        ],[0.45047215 0.22410141 1.1762527 ],[-0.00619183  0.2558906   1.3910468 ],[ 0.12595378 -0.01198794  1.7142328 ],[ 0.22870675 -0.16532077  0.11348474],[ 0.12183771 -0.13148107  0.11598164]
377,[ 0.12731263 -0.11438566  1.        ],[0.44854063 0.22095096 1.1286423 ],[-0.04674702  0.28044176  1.3250637 ],[ 0.12683037 -0.02549398  1.7141011 ],[ 0.22474983 -0.17297077  0.10966516],[ 0.12071415 -0.13317037  0.11327732]
378,[ 0.12783846 -0.12611437  1.        ],[0.4405725 0.1936354 1.0847472],[-0.04602573  0.3197832   1.2170085 ],[ 0.12703238 -0.04162473  1.7134491 ],[ 0.22446002 -0.1700123   0.11519307],[ 0.124598   -0.12913436  0.11652339]
379,[ 0.12849215 -0.13770716  1.        ],[0.46388873 0.11032046 0.99893093],[-0.08398998  0.28933898  1.1139662 ],[ 0.12759092 -0.05733047  1.7116967 ],[ 0.21936986 -0.17344873  0.10986531],[ 0.12331022 -0.13315354  0.11244607]
380,[ 0.12929155 -0.14914538  1.        ],[0.4705672  0.00531392 0.9241306 ],[-0.06521342  0.23621164  1.0305994 ],[ 0.1320006  -0.06566723  1.7142135 ],[ 0.21997462 -0.18083628  0.1079604 ],[ 0.12253582 -0.14581372  0.10961384]
381,[ 0.13025454 -0.1604104   1.        ],[ 0.45759702 -0.08854771  0.82003677],[-0.04666327  0.05200672  0.8345382 ],[ 0.13566872 -0.07240898  1.7167038 ],[ 0.21836437 -0.19088805  0.09975374],[ 0.11928059 -0.15574431  0.10097754]
382,[ 0.13139896 -0.17148359  1.        ],[ 0.43837482 -0.10939362  0.7877997 ],[-0.05699733 -0.01291939  0.81959325],[ 0.13695206 -0.08514633  1.7203295 ],[ 0.2092286  -0.20093341  0.1038689 ],[ 0.11152504 -0.16558488  0.10855073]
383,[ 0.13274266 -0.18234631  1.        ],[ 0.40176335 -0.13378277  0.76306856],[-0.0652208  -0.11497763  0.7656611 ],[ 0.13742013 -0.08985874  1.7179562 ],[ 0.21245119 -0.2270728   0.0979228 ],[ 0.11034505 -0.1925287   0.10076177]
384,[ 0.13430351 -0.19297992  1.        ],[ 0.37141123 -0.1584097   0.7571969 ],[-0.06854378 -0.15718465  0.75588006],[ 0.1382221  -0.10168801  1.7160232 ],[ 0.20829323 -0.256881    0.09721941],[ 0.10294914 -0.221328    0.10048294]
385,[ 0.13609937 -0.20336577  1.        ],[ 0.35285205 -0.17270038  0.75733316],[-0.06102933 -0.17551497  0.75652647],[ 0.14087532 -0.10755333  1.7162434 ],[ 0.20898566 -0.26993152  0.099536  ],[ 0.10648812 -0.24542639  0.09967953]
386,[ 0.13814807 -0.21348524  1.        ],[ 0.33825675 -0.18180412  0.7630234 ],[-0.04722454 -0.20132947  0.7614486 ],[ 0.14318018 -0.12100279  1.7193731 ],[ 0.21315983 -0.27998447  0.09993851],[ 0.10836465 -0.2572416   0.1012454 ]
387,[ 0.14046748 -0.22331968  1.        ],[ 0.325465   -0.19746682  0.7699263 ],[-0.03174734 -0.20870104  0.7669296 ],[ 0.14824866 -0.13223681  1.7173228 ],[ 0.21375912 -0.2875726   0.10309339],[ 0.11056402 -0.26193985  0.10383546]
388,[ 0.14307547 -0.23285045  1.        ],[ 0.31379893 -0.21206023  0.77097845],[-0.02615617 -0.23217817  0.77444655],[ 0.15661399 -0.14160742  1.7198251 ],[ 0.2128718  -0.29905304  0.10284281],[ 0.10657395 -0.27926418  0.10210419]
389,[ 0.14598987 -0.24205892  1.        ],[ 0.3124646 -0.2192261  0.7720442],[-0.01908998 -0.2513883   0.78172874],[ 0.16037005 -0.15363215  1.719796  ],[ 0.21516934 -0.30565953  0.1044156 ],[ 0.11196742 -0.2888577   0.10113275]
390,[ 0.14922854 -0.25092646  1.        ],[ 0.31115142 -0.23184559  0.77344483],[-0.01395661 -0.26738754  0.78629893],[ 0.16558138 -0.1646587   1.7201842 ],[ 0.22018155 -0.3130348   0.10539377],[ 0.1137213  -0.29823795  0.10378623]
391,[ 0.15280935 -0.2594344   1.        ],[ 0.31549954 -0.23644473  0.7743489 ],[-0.02127965 -0.28094965  0.79182434],[ 0.16915452 -0.1710455   1.7199116 ],[ 0.21932697 -0.32173532  0.10422957],[ 0.11234058 -0.30295795  0.10416073]
392,[ 0.15675014 -0.26756415  1.        ],[ 0.32405716 -0.24437377  0.77361774],[-0.02622809 -0.29889902  0.79810077],[ 0.17392978 -0.17901662  1.7200916 ],[ 0.2216026  -0.32794186  0.10459375],[ 0.11654287 -0.30374822  0.10593575]
393,[ 0.16106878 -0.27529705  1.        ],[ 0.33796692 -0.25349897  0.77783024],[-0.02837304 -0.3137375   0.7976688 ],[ 0.17960201 -0.18712823  1.718282  ],[ 0.22298227 -0.3369621   0.1050536 ],[ 0.11926484 -0.31062996  0.1063745 ]
394,[ 0.16578312 -0.28261444  1.        ],[ 0.35345283 -0.25763282  0.77331257],[-0.032395   -0.31532827  0.7934714 ],[ 0.18454264 -0.19496675  1.7195626 ],[ 0.22966847 -0.3425564   0.10487485],[ 0.12449584 -0.31935146  0.10514915]
395,[ 0.17091101 -0.2894977   1.        ],[ 0.36406627 -0.271049    0.765936  ],[-0.03132121 -0.30705962  0.7891366 ],[ 0.19019002 -0.19939353  1.7182913 ],[ 0.23494804 -0.35313544  0.10514629],[ 0.1338336  -0.32532975  0.10548013]
396,[ 0.17647031 -0.29592818  1.        ],[ 0.38591594 -0.28382605  0.7581942 ],[-0.04506951 -0.30210525  0.7802136 ],[ 0.19665632 -0.20532914  1.719256  ],[ 0.2341366  -0.3697973   0.10158479],[ 0.1315652  -0.33765656  0.10349607]
397,[ 0.18247887 -0.30188727  1.        ],[ 0.4117592  -0.26395655  0.7502875 ],[-0.03951528 -0.29247826  0.7728959 ],[ 0.20468646 -0.21052396  1.7201345 ],[ 0.23604476 -0.37564498  0.10070568],[ 0.1317758  -0.3388465   0.10461676]
398,[ 0.18895456 -0.30735633  1.        ],[ 0.4323399  -0.25570396  0.7514399 ],[-0.03355571 -0.29424706  0.77040946],[ 0.2050838  -0.21582982  1.7194511 ],[ 0.23451161 -0.37219617  0.10042024],[ 0.13492742 -0.3404481   0.10590863]
399,[ 0.19591522 -0.3123167   1.        ],[ 0.45292088 -0.2515969   0.75132126],[-0.0259943  -0.28267834  0.7654532 ],[ 0.21262848 -0.21984366  1.7179325 ],[ 0.2389245  -0.36955753  0.10348725],[ 0.14027661 -0.34147087  0.10814315]
400,[ 0.2033787  -0.31674972  1.        ],[ 0.46666455 -0.24828659  0.75713265],[-0.01840419 -0.27911583  0.7600263 ],[ 0.22202617 -0.2161399   1.713778  ],[ 0.24633333 -0.36527953  0.10187942],[ 0.14612356 -0.3331481   0.1084767 ]
401,[ 0.2113629 -0.3206368  1.       ],[ 0.48100796 -0.23460878  0.76468515],[ 0.00229449 -0.27149576  0.7665154 ],[ 0.22902927 -0.22243775  1.7140639 ],[ 0.2529128  -0.37134105  0.09678257],[ 0.15427966 -0.33380562  0.10346079]
402,[ 0.2198856  -0.32395932  1.        ],[ 0.4899504  -0.22423819  0.7791132 ],[ 0.02503192 -0.2539499   0.77192056],[ 0.23380485 -0.22725251  1.712237  ],[ 0.2666365  -0.37570396  0.0982278 ],[ 0.16501375 -0.33362213  0.1022591 ]
403,[ 0.22896473 -0.32669857  1.        ],[ 0.4988044  -0.22207972  0.7970207 ],[ 0.05918574 -0.20845404  0.7895154 ],[ 0.24105562 -0.22833547  1.7137997 ],[ 0.2769642  -0.37711468  0.09972858],[ 0.17262805 -0.3343263   0.10327375]
404,[ 0.23861809 -0.32883596  1.        ],[ 0.5057723  -0.18157387  0.8186199 ],[ 0.09623723 -0.16753614  0.8088777 ],[ 0.25054502 -0.2298783   1.7159377 ],[ 0.28932893 -0.37616324  0.10200274],[ 0.18466802 -0.32870024  0.10658801]
405,[ 0.24886356 -0.33035284  1.        ],[ 0.5043504  -0.15579337  0.835911  ],[ 0.13337667 -0.135077    0.8210114 ],[ 0.26016966 -0.23137116  1.7129185 ],[ 0.29301238 -0.37634492  0.10328335],[ 0.18669231 -0.32100147  0.11154795]
406,[ 0.259719   -0.33123058  1.        ],[ 0.5058541  -0.12845622  0.85830307],[ 0.16815881 -0.12337302  0.8406078 ],[ 0.27046725 -0.23408245  1.7108703 ],[ 0.30357802 -0.38236958  0.10664082],[ 0.19666962 -0.3236397   0.11459309]
407,[ 0.27120227 -0.33145052  1.        ],[ 0.50661707 -0.09918892  0.87457824],[ 0.19050927 -0.09304433  0.86161345],[ 0.28275567 -0.23212074  1.7101893 ],[ 0.31278434 -0.38262188  0.10754007],[ 0.2048554  -0.32361954  0.11545348]
408,[ 0.28333122 -0.33099404  1.        ],[ 0.5071945 -0.0847384  0.8922151],[ 0.21206819 -0.07723489  0.88072634],[ 0.29434553 -0.23885497  1.7137778 ],[ 0.3175453  -0.38444188  0.11124891],[ 0.20959897 -0.32195202  0.12140375]
409,[ 0.29612365 -0.32984248  1.        ],[ 0.5079491  -0.07807837  0.89995646],[ 0.23190242 -0.05860429  0.8926111 ],[ 0.30669484 -0.2321525   1.7099777 ],[ 0.33026797 -0.3878055   0.11401492],[ 0.22329949 -0.3271443   0.12263447]
410,[ 0.30959752 -0.32797724  1.        ],[ 0.50304526 -0.09472115  0.88945377],[ 0.24991702 -0.04829885  0.8965759 ],[ 0.32092467 -0.22956617  1.7071404 ],[ 0.33997622 -0.38303047  0.11797392],[ 0.23637897 -0.3235203   0.12673181]
411,[ 0.3237706  -0.32537967  1.        ],[ 0.5047521  -0.11160899  0.8738518 ],[ 0.262144   -0.05439056  0.8943707 ],[ 0.33763546 -0.22405279  1.7057503 ],[ 0.34858042 -0.38409746  0.12071192],[ 0.24829066 -0.32727993  0.12709802]
412,[ 0.33866078 -0.3220311   1.        ],[ 0.510378   -0.11741881  0.86078626],[ 0.27705947 -0.05872606  0.8820133 ],[ 0.35265455 -0.21910982  1.7054931 ],[ 0.3633777  -0.38481     0.12109852],[ 0.26232898 -0.32646897  0.12642443]
